"","fips","SCC","Pollutant","Emissions","type","year"
"288","24510","2270004071","PM25-PRI",0.49,"NON-ROAD",1999
"289","24510","2270004076","PM25-PRI",0,"NON-ROAD",1999
"290","24510","2270006005","PM25-PRI",7.15,"NON-ROAD",1999
"291","24510","2270006010","PM25-PRI",1.58,"NON-ROAD",1999
"292","24510","2270006015","PM25-PRI",3.67,"NON-ROAD",1999
"293","24510","2270006025","PM25-PRI",4.06,"NON-ROAD",1999
"294","24510","2270006030","PM25-PRI",0.2,"NON-ROAD",1999
"295","24510","2280002100","PM25-PRI",350.97,"NON-ROAD",1999
"296","24510","2280002200","PM25-PRI",0.8,"NON-ROAD",1999
"297","24510","2280003100","PM25-PRI",97.05,"NON-ROAD",1999
"298","24510","2280003200","PM25-PRI",0.29,"NON-ROAD",1999
"299","24510","2282005010","PM25-PRI",1.85,"NON-ROAD",1999
"300","24510","2282005015","PM25-PRI",0.91,"NON-ROAD",1999
"301","24510","2282010005","PM25-PRI",0.02,"NON-ROAD",1999
"302","24510","2282020005","PM25-PRI",0.05,"NON-ROAD",1999
"303","24510","2282020010","PM25-PRI",0,"NON-ROAD",1999
"304","24510","2285002006","PM25-PRI",4.64,"NON-ROAD",1999
"305","24510","2285002008","PM25-PRI",0.02,"NON-ROAD",1999
"306","24510","2285002009","PM25-PRI",4.16,"NON-ROAD",1999
"307","24510","2285002010","PM25-PRI",1.86,"NON-ROAD",1999
"308","24510","2285002015","PM25-PRI",1.22,"NON-ROAD",1999
"309","24510","2285004015","PM25-PRI",0,"NON-ROAD",1999
"310","24510","2285006015","PM25-PRI",0,"NON-ROAD",1999
"311","24510","2294000000","PM25-PRI",1043.61,"NONPOINT",1999
"312","24510","2311010000","PM25-PRI",2.09,"NONPOINT",1999
"313","24510","2311020000","PM25-PRI",395.92,"NONPOINT",1999
"314","24510","2311030000","PM25-PRI",6.24,"NONPOINT",1999
"315","24510","2325000000","PM25-PRI",47.77,"NONPOINT",1999
"316","24510","2610000500","PM25-PRI",36.338,"NONPOINT",1999
"317","24510","2810001000","PM25-PRI",0,"NONPOINT",1999
"318","24510","2810005000","PM25-PRI",0,"NONPOINT",1999
"319","24510","2810015000","PM25-PRI",0,"NONPOINT",1999
"320","24510","2810030000","PM25-PRI",14.906,"NONPOINT",1999
"321","24510","10100504","PM25-PRI",0.42,"POINT",2002
"322","24510","10100601","PM25-PRI",13.72,"POINT",2002
"323","24510","10200402","PM25-PRI",2.31,"POINT",2002
"324","24510","10200502","PM25-PRI",0.1,"POINT",2002
"325","24510","10200601","PM25-PRI",3.07,"POINT",2002
"326","24510","10200602","PM25-PRI",10.46,"POINT",2002
"327","24510","10200603","PM25-PRI",0.51,"POINT",2002
"328","24510","10300402","PM25-PRI",2.86,"POINT",2002
"329","24510","10300502","PM25-PRI",0.58,"POINT",2002
"330","24510","10300601","PM25-PRI",0.81,"POINT",2002
"331","24510","10300602","PM25-PRI",1.56,"POINT",2002
"332","24510","10300603","PM25-PRI",0.03,"POINT",2002
"333","24510","10500106","PM25-PRI",0.06,"POINT",2002
"334","24510","20300101","PM25-PRI",1.06,"POINT",2002
"335","24510","30100699","PM25-PRI",5.11,"POINT",2002
"336","24510","30100902","PM25-PRI",0.31,"POINT",2002
"337","24510","30100999","PM25-PRI",2.9,"POINT",2002
"338","24510","30101202","PM25-PRI",0.71,"POINT",2002
"339","24510","30101401","PM25-PRI",6.12,"POINT",2002
"340","24510","30101503","PM25-PRI",0.29,"POINT",2002
"341","24510","30103311","PM25-PRI",0.25,"POINT",2002
"342","24510","30103399","PM25-PRI",0.03,"POINT",2002
"343","24510","30103501","PM25-PRI",0.4,"POINT",2002
"344","24510","30121101","PM25-PRI",8.17,"POINT",2002
"345","24510","30183001","PM25-PRI",9.7,"POINT",2002
"346","24510","30200504","PM25-PRI",0.01,"POINT",2002
"347","24510","30200899","PM25-PRI",0.95,"POINT",2002
"348","24510","30201599","PM25-PRI",70.27,"POINT",2002
"349","24510","30201651","PM25-PRI",11.32,"POINT",2002
"350","24510","30203202","PM25-PRI",0.15,"POINT",2002
"351","24510","30299999","PM25-PRI",56.02,"POINT",2002
"352","24510","30300303","PM25-PRI",0.13,"POINT",2002
"353","24510","30301010","PM25-PRI",0.36,"POINT",2002
"354","24510","30301201","PM25-PRI",20.21,"POINT",2002
"355","24510","30500103","PM25-PRI",6.07,"POINT",2002
"356","24510","30500198","PM25-PRI",0.68,"POINT",2002
"357","24510","30500401","PM25-PRI",24.97,"POINT",2002
"358","24510","30500402","PM25-PRI",20.34,"POINT",2002
"359","24510","30500499","PM25-PRI",39.31,"POINT",2002
"360","24510","30501301","PM25-PRI",2.87,"POINT",2002
"361","24510","30501402","PM25-PRI",49.31,"POINT",2002
"362","24510","30501502","PM25-PRI",0.27,"POINT",2002
"363","24510","30501504","PM25-PRI",0.37,"POINT",2002
"364","24510","30501508","PM25-PRI",1.27,"POINT",2002
"365","24510","30501509","PM25-PRI",2.03,"POINT",2002
"366","24510","30501513","PM25-PRI",5.9,"POINT",2002
"367","24510","30501517","PM25-PRI",5.51,"POINT",2002
"368","24510","30501518","PM25-PRI",1.11,"POINT",2002
"369","24510","30501519","PM25-PRI",6.56,"POINT",2002
"370","24510","30501520","PM25-PRI",12.93,"POINT",2002
"371","24510","30501521","PM25-PRI",2.74,"POINT",2002
"372","24510","30509203","PM25-PRI",0.11,"POINT",2002
"373","24510","30510198","PM25-PRI",0.61,"POINT",2002
"374","24510","30510205","PM25-PRI",5.07,"POINT",2002
"375","24510","30599999","PM25-PRI",114.45,"POINT",2002
"376","24510","31299999","PM25-PRI",0.91,"POINT",2002
"377","24510","40201619","PM25-PRI",0.42,"POINT",2002
"378","24510","40201620","PM25-PRI",0.08,"POINT",2002
"379","24510","40201628","PM25-PRI",0.17,"POINT",2002
"380","24510","40201631","PM25-PRI",4.46,"POINT",2002
"381","24510","40201699","PM25-PRI",0.16,"POINT",2002
"382","24510","40500401","PM25-PRI",0.02,"POINT",2002
"383","24510","50100101","PM25-PRI",17.15,"POINT",2002
"384","24510","50200501","PM25-PRI",2.59,"POINT",2002
"385","24510","50200504","PM25-PRI",3.65,"POINT",2002
"386","24510","50300103","PM25-PRI",2.34,"POINT",2002
"387","24510","50400201","PM25-PRI",3.87,"POINT",2002
"388","24510","2102001000","PM25-PRI",40.64,"NONPOINT",2002
"389","24510","2102002000","PM25-PRI",159.78,"NONPOINT",2002
"390","24510","2103011000","PM25-PRI",0.92,"NONPOINT",2002
"391","24510","2103002000","PM25-PRI",2.03,"NONPOINT",2002
"392","24510","2103004000","PM25-PRI",12.95,"NONPOINT",2002
"393","24510","2103005000","PM25-PRI",0.73,"NONPOINT",2002
"394","24510","2103006000","PM25-PRI",1.78,"NONPOINT",2002
"395","24510","2103007000","PM25-PRI",0.01,"NONPOINT",2002
"396","24510","2311010000","PM25-PRI",1.3,"NONPOINT",2002
"397","24510","2311020000","PM25-PRI",57.14,"NONPOINT",2002
"398","24510","2311030000","PM25-PRI",25.89,"NONPOINT",2002
"399","24510","2104008000","PM25-PRI",242.87,"NONPOINT",2002
"400","24510","2104008070","PM25-PRI",83.55,"NONPOINT",2002
"401","24510","2104011000","PM25-PRI",1.61,"NONPOINT",2002
"402","24510","2294000000","PM25-PRI",26.06,"NONPOINT",2002
"403","24510","2302002100","PM25-PRI",24.77,"NONPOINT",2002
"404","24510","2302002200","PM25-PRI",143.04,"NONPOINT",2002
"405","24510","2302003100","PM25-PRI",28.14,"NONPOINT",2002
"406","24510","2302003200","PM25-PRI",2.92,"NONPOINT",2002
"407","24510","2601000000","PM25-PRI",18.13,"NONPOINT",2002
"408","24510","2610000100","PM25-PRI",0,"NONPOINT",2002
"409","24510","2610000400","PM25-PRI",0,"NONPOINT",2002
"410","24510","2610000500","PM25-PRI",215.35,"NONPOINT",2002
"411","24510","2610030000","PM25-PRI",0,"NONPOINT",2002
"412","24510","2801000003","PM25-PRI",347.59,"NONPOINT",2002
